1000 50 20034
497 51 795 448
497 54 690 445
481 53 142 436
496 69 238 433
471 54 229 430
489 67 864 430
483 68 65 426
476 66 940 423
494 82 426 422
492 82 63 421
494 85 161 420
479 73 134 419
478 73 168 419
464 62 653 419
475 71 39 418
463 70 197 412
482 88 275 410
475 82 532 410
459 70 655 410
486 91 778 410
484 92 565 408
442 62 367 407
455 71 445 407
443 65 112 405
440 63 294 405
471 85 660 405
416 59 526 396
407 54 756 396
434 73 704 393
444 81 262 392
483 117 173 388
419 69 868 388
486 122 156 387
442 88 563 385
492 132 302 384
406 67 509 384
475 117 652 383
450 97 707 383
449 96 715 383
396 66 923 380
360 53 557 376
400 72 909 376
483 135 941 375
65 61 867 374
463 120 436 373
470 126 945 373
353 59 840 368
68 67 59 367
477 142 714 366
484 149 917 366
104 56 40 365
411 91 190 365
81 64 769 365
391 81 48 364
378 75 699 364
492 162 191 363
313 51 255 363
86 65 791 362
64 77 437 360
476 151 872 359
121 58 471 358
114 61 217 357
421 109 435 356
445 127 837 356
282 53 51 355
145 55 166 355
138 56 861 355
496 181 213 354
494 179 547 354
444 130 287 353
205 50 2 352
461 146 94 352
244 51 135 352
68 84 224 352
84 78 6 351
491 180 141 351
171 54 372 351
267 54 994 351
305 63 403 350
329 71 473 349
147 60 523 349
499 196 269 348
487 180 328 348
141 63 901 348
446 140 151 347
419 119 854 347
255 57 858 347
362 86 964 347
439 135 585 346
244 57 738 346
410 115 290 345
216 57 334 345
164 61 777 345
494 196 239 344
446 144 535 344
468 166 139 343
266 62 598 343
316 73 932 343
196 60 956 343
458 160 266 340
171 66 579 339
346 89 147 338
103 84 260 338
462 167 604 338
500 214 875 338
214 65 487 337
479 188 957 337
61 105 170 336
196 67 759 336
279 71 948 336
480 192 129 335
128 80 635 335
92 94 312 333
424 140 481 333
415 133 886 333
309 83 21 331
169 75 73 331
370 109 108 330
205 72 204 330
378 114 15 329
486 210 72 329
342 97 157 329
178 76 184 329
500 231 342 329
79 104 758 329
140 83 816 329
280 80 109 328
340 97 879 328
400 129 921 328
391 124 501 327
190 76 691 327
363 108 959 327
316 91 813 326
342 101 391 325
349 104 760 325
411 141 30 324
97 102 33 324
486 218 454 324
50 125 779 324
182 81 398 323
63 120 417 322
93 106 429 322
60 123 149 321
195 83 610 320
323 99 960 320
345 109 19 319
210 83 315 319
291 91 731 319
350 111 985 319
141 94 57 318
95 109 801 318
480 221 882 318
386 132 430 317
453 188 470 317
224 85 546 317
456 192 683 317
149 93 725 317
412 150 967 317
130 99 324 316
346 113 507 316
397 142 167 315
407 149 288 315
422 163 377 314
438 178 492 313
487 241 733 313
409 154 106 312
125 105 133 312
363 126 556 311
423 169 278 310
99 116 346 310
449 194 544 310
231 93 780 309
362 128 842 309
197 94 880 309
445 192 997 309
69 133 420 308
72 131 947 308
411 163 646 307
242 97 90 306
219 96 345 306
457 209 427 306
121 112 612 306
202 96 969 306
298 106 980 306
273 102 641 305
266 102 209 304
202 98 240 304
431 184 289 304
83 130 599 304
254 100 850 304
341 125 81 303
268 103 122 303
350 129 281 303
203 99 592 303
475 241 126 302
174 103 300 302
384 149 540 302
420 178 243 301
284 108 498 301
245 102 717 301
156 108 912 301
129 116 343 300
217 102 636 300
322 120 936 300
183 105 775 299
238 105 25 298
294 114 42 298
104 127 413 298
405 169 938 298
484 268 186 297
220 106 14 296
105 129 143 296
168 110 838 296
500 494 922 296
398 168 539 295
414 180 566 295
197 108 845 295
470 249 673 294
495 302 979 294
489 288 325 293
103 133 698 293
131 124 103 292
489 291 734 292
406 179 177 291
490 296 231 291
456 234 360 291
383 162 688 291
218 111 887 291
488 296 321 289
312 129 942 288
139 126 836 287
453 238 249 286
138 128 679 286
120 134 711 286
347 146 746 286
495 476 822 286
146 126 537 285
429 210 835 285
461 251 935 285
118 137 20 284
421 202 234 284
460 251 373 284
172 122 404 284
425 206 441 284
80 154 726 284
480 291 926 284
481 293 982 284
314 135 370 283
57 170 538 283
492 475 607 283
375 166 656 283
202 120 716 283
340 147 117 282
469 272 267 282
500 376 291 282
294 130 478 282
337 147 175 281
155 128 543 281
499 431 642 281
222 122 24 280
85 156 127 280
492 338 193 280
495 448 245 280
346 152 706 280
227 122 797 280
120 140 931 280
322 143 933 279
497 397 451 278
320 144 17 277
363 165 299 277
304 138 696 277
459 264 859 277
104 151 113 276
89 158 136 276
473 294 589 276
475 299 608 276
285 134 910 276
100 154 116 275
491 444 196 275
481 484 517 275
358 165 553 275
111 149 609 275
396 191 651 275
491 443 810 275
236 128 829 275
293 137 831 275
