10000 500 2321887
4981 509 1514 5139
4977 511 5502 5135
4973 516 5044 5128
4913 507 2892 5106
4951 529 3869 5106
4984 561 2651 5095
4891 509 7910 5093
4887 526 4301 5076
4849 510 1463 5072
4871 527 7370 5068
4958 579 4086 5067
4978 592 3896 5066
4827 505 2388 5065
4852 538 76 5049
4897 571 7532 5043
4947 604 7213 5039
4857 556 9133 5036
4766 524 1038 5019
4896 602 9575 5015
4901 608 1566 5013
4701 501 8219 5009
4783 547 5124 5007
4692 500 9215 5005
4839 596 3184 4992
4650 502 5751 4984
4801 591 1193 4978
4721 548 3562 4977
4793 587 7607 4977
4746 562 926 4976
4936 676 8480 4972
4791 594 2948 4970
4762 580 4609 4968
4786 599 5250 4963
4890 661 1603 4961
4844 639 7150 4957
4863 654 7000 4954
4843 647 6879 4950
4877 668 1325 4949
4636 538 7754 4946
4741 599 3151 4941
4653 553 1510 4940
4717 592 8321 4936
4867 689 2814 4926
4930 726 8914 4926
4728 610 8183 4925
4706 602 1441 4922
4815 668 5247 4918
4630 566 6110 4918
4784 650 7324 4918
4957 754 955 4917
4704 607 5652 4917
4789 655 1072 4916
4683 600 9694 4913
4470 504 6332 4902
4837 700 2936 4901
4760 656 3604 4901
4783 670 9234 4900
4480 516 7963 4896
4566 562 6195 4893
4613 588 9875 4891
4996 815 2739 4886
4710 650 5478 4882
4464 524 7221 4882
4577 580 6992 4881
4469 549 1539 4861
4590 613 5507 4858
4415 528 368 4857
4923 807 7707 4854
4715 686 6007 4853
4899 795 3731 4851
4992 854 9495 4851
4332 501 6871 4847
4384 528 5394 4844
4711 701 9811 4838
4718 713 1799 4831
4339 523 2431 4830
4898 820 9871 4829
4314 514 236 4828
4910 832 6085 4826
4512 610 2565 4825
4744 734 6924 4825
4940 851 7634 4825
4598 654 9184 4825
4338 529 465 4824
4537 626 1290 4822
4786 762 3803 4822
4890 826 4131 4820
4614 670 786 4819
4699 716 6103 4819
4916 845 6227 4818
4616 673 88 4817
4980 889 9840 4815
4690 716 9719 4814
4483 609 3 4813
4292 521 1768 4813
4655 698 6535 4813
4709 728 8530 4813
4238 501 8957 4810
4322 537 9778 4810
4777 772 486 4808
4268 519 658 4805
4999 915 1050 4804
4819 811 8861 4796
4442 614 245 4791
4782 797 9092 4789
4980 921 6808 4788
4786 803 4657 4786
523 511 8414 4786
4680 743 8825 4786
4578 689 266 4785
4528 665 6657 4783
4918 887 8484 4783
4909 883 4775 4782
4612 710 6719 4782
4284 553 5259 4780
4585 700 52 4779
4989 938 4703 4779
4958 920 1748 4777
4795 821 8288 4775
4667 753 8082 4771
4696 772 4629 4768
4384 621 1119 4760
4686 777 3543 4759
4786 840 4815 4754
4675 777 9858 4754
4354 616 3956 4752
4868 896 1655 4749
4269 582 7948 4748
4764 836 2848 4747
4703 802 878 4746
4539 713 8635 4746
4183 548 2076 4745
4495 691 4635 4745
4406 649 5224 4744
4992 983 9388 4743
4251 580 182 4742
4909 934 9552 4739
4943 957 456 4738
4882 918 3770 4738
4660 788 7966 4737
671 505 8221 4737
4949 963 5093 4736
642 517 7930 4736
674 507 4587 4734
4210 576 8617 4730
4592 761 4758 4728
683 514 3069 4724
4911 964 7842 4715
4028 523 2595 4711
4056 535 9607 4710
4658 819 1394 4709
627 552 8942 4709
687 530 9036 4708
4853 936 3474 4707
4209 602 7317 4706
624 562 4620 4701
4224 614 8366 4701
702 533 6884 4700
4549 770 7071 4700
4910 983 7172 4698
4760 892 4057 4696
4161 593 8038 4695
4114 575 9340 4694
4389 697 1598 4693
4875 967 2663 4693
3964 521 5334 4691
4500 757 3064 4689
4576 798 1564 4688
787 515 2745 4688
4382 699 8095 4688
4225 633 8830 4683
643 575 5540 4682
4100 585 240 4680
3974 538 681 4678
4300 672 1671 4678
595 599 3270 4678
646 580 7070 4676
570 612 4420 4675
838 513 7355 4673
4818 954 8331 4673
795 529 4127 4672
4526 791 4021 4671
4612 838 6578 4670
4391 725 6280 4669
593 613 6157 4665
4728 909 6264 4665
4047 581 879 4664
737 560 6397 4662
3845 512 2634 4660
765 554 457 4658
4120 616 1100 4658
559 639 2985 4654
4137 628 5314 4654
4035 587 5366 4654
4123 623 1375 4653
3924 547 9773 4653
4355 725 9886 4653
549 647 6840 4651
740 573 4166 4649
3954 565 5125 4646
4809 986 5528 4641
776 570 1635 4640
729 587 2928 4640
4773 965 9124 4640
4712 932 4304 4638
4707 929 9191 4638
937 517 5838 4637
882 537 6135 4636
4523 829 8513 4636
3978 586 3977 4635
4562 852 7064 4634
4269 709 3413 4632
598 648 1260 4631
3832 540 651 4630
4508 827 2370 4630
3864 550 5533 4630
4400 777 2721 4626
3873 559 1713 4625
819 570 6849 4625
562 672 1234 4623
4451 806 1702 4623
626 646 432 4622
995 516 6469 4621
4337 752 6699 4621
642 643 7189 4619
911 547 8294 4617
4281 732 5162 4616
4496 837 8386 4616
531 694 3862 4615
4127 667 161 4614
4430 805 825 4614
3771 539 2122 4612
3766 539 8709 4610
4736 978 8789 4610
4818 1031 4468 4608
3877 579 1442 4607
735 620 2150 4607
834 586 507 4605
4438 819 6178 4605
4672 946 7039 4605
512 714 963 4604
3632 505 4896 4604
4245 731 112 4602
4234 726 6006 4602
670 652 8239 4600
4800 1030 5643 4599
3836 574 9158 4599
4684 961 440 4598
985 543 3582 4598
3717 536 4568 4598
530 714 533 4597
4942 1126 2259 4596
1032 533 9039 4594
3789 564 3673 4593
4235 737 3999 4592
3660 528 694 4589
4548 895 3690 4589
3778 565 5148 4589
4209 730 7340 4588
4412 825 8324 4588
729 642 9576 4588
1059 532 4010 4587
4518 881 5151 4587
4671 967 8703 4587
778 626 9706 4586
1098 525 3118 4583
3720 554 8154 4582
4200 734 8050 4581
4972 1167 726 4580
993 560 8114 4579
1194 502 8356 4579
810 623 3172 4578
4815 1066 9406 4577
3951 639 9248 4576
3602 528 1588 4573
4638 965 7974 4572
4505 893 9842 4571
3503 505 7742 4570
4942 1159 2375 4569
4005 667 5438 4569
643 698 902 4568
4767 1046 4085 4568
778 647 1347 4567
3995 666 1856 4566
4587 943 4809 4566
519 753 9427 4566
3687 561 1358 4565
4599 952 6164 4564
4742 1036 7269 4564
3617 542 8427 4564
3741 580 9086 4563
3644 552 668 4562
4263 783 1593 4562
3506 516 225 4560
4617 969 6917 4558
4371 839 8529 4558
3867 629 4140 4557
564 743 7579 4557
4778 1067 1785 4556
1259 510 5813 4556
4429 870 7589 4556
3715 581 4752 4555
4766 1061 8767 4555
4390 853 5181 4554
4858 1124 3357 4551
4300 812 5226 4551
1254 517 8697 4550
4020 693 9034 4550
3856 632 9253 4550
4087 721 250 4549
3623 559 4028 4549
4621 983 7257 4548
4984 1215 1832 4547
4202 772 4943 4547
4376 853 5543 4547
1289 512 1820 4546
4778 1079 8214 4546
4698 1033 7270 4544
1304 511 8424 4544
3955 675 587 4543
4709 1040 7072 4543
869 639 9820 4543
752 684 75 4541
1164 550 773 4541
4559 957 2451 4540
4859 1139 9314 4539
4025 709 2195 4537
3420 518 2535 4537
561 766 9241 4537
581 758 2394 4536
4087 735 3014 4536
4606 989 3145 4535
4975 1224 8030 4535
