1000 50 22672
474 498 936 496
489 483 708 492
490 479 739 489
477 484 169 486
462 490 626 483
473 476 236 477
446 492 111 476
448 491 363 476
465 478 311 474
441 492 344 473
475 464 62 468
438 487 909 468
428 492 298 467
470 461 910 463
454 467 401 459
398 497 939 458
448 468 64 457
415 487 149 456
489 437 406 456
459 460 762 456
489 438 785 456
395 494 423 454
484 437 447 452
393 492 442 451
436 469 831 451
465 448 83 450
393 491 883 450
492 425 736 448
434 466 263 447
389 489 780 447
435 464 14 446
456 450 383 446
364 495 76 442
458 442 640 441
458 441 729 440
397 477 167 439
362 491 233 438
53 496 942 438
472 427 166 437
336 499 500 436
450 442 767 436
442 446 385 435
451 440 389 435
499 401 504 435
476 420 84 434
78 500 823 434
468 425 127 433
447 438 943 431
456 430 295 430
339 491 374 430
398 466 718 430
93 499 512 429
371 477 530 428
76 491 103 426
56 485 300 426
102 497 599 425
490 394 174 424
380 468 199 424
414 451 666 424
446 428 474 422
323 488 673 422
495 387 688 422
447 426 813 421
100 491 98 419
62 479 445 419
154 500 999 419
72 482 376 418
264 497 409 418
453 418 775 418
64 479 915 418
365 467 24 417
368 466 809 417
227 500 859 417
499 374 628 416
339 476 861 416
352 471 53 415
366 465 705 415
168 498 709 415
117 490 847 415
153 495 353 414
469 398 4 413
283 489 82 413
189 497 299 413
406 442 738 413
340 472 158 412
198 496 357 412
374 458 763 412
318 478 987 411
117 485 9 410
275 487 93 410
183 494 465 410
347 467 593 410
59 469 603 410
280 485 18 409
432 422 320 409
116 484 604 409
487 376 821 409
256 489 969 409
238 490 260 408
51 463 990 408
471 389 633 407
56 463 350 406
99 476 551 405
476 382 816 405
484 372 112 404
457 396 326 404
195 488 412 404
168 487 536 404
405 431 189 403
277 479 446 402
59 460 477 402
480 374 557 402
56 458 142 401
323 466 294 401
469 382 362 401
105 473 620 401
164 483 843 401
335 461 101 400
370 446 222 400
175 483 585 400
115 474 21 399
443 401 621 399
172 482 714 399
64 459 893 399
386 436 186 398
88 465 66 397
197 481 278 397
411 421 734 397
407 422 67 396
301 467 90 396
277 473 333 396
111 470 700 396
490 353 341 395
283 470 358 395
185 479 441 395
88 463 568 395
360 446 623 395
137 473 318 394
353 447 519 394
227 477 525 394
316 461 814 394
175 476 472 393
424 408 619 393
259 472 306 392
264 471 313 392
289 466 443 392
198 476 511 392
310 459 578 391
107 464 632 391
500 334 96 390
326 451 618 388
484 349 855 388
329 448 896 386
341 443 825 385
491 335 23 384
127 461 590 384
235 466 764 384
109 456 695 383
386 418 710 382
463 361 752 381
309 448 224 380
243 462 301 380
133 457 88 379
445 374 284 379
198 463 570 379
101 450 802 379
332 440 845 379
63 436 629 378
102 449 669 378
378 418 747 378
221 460 77 377
148 457 185 377
494 321 879 377
265 456 888 377
393 407 596 376
55 431 665 376
432 381 769 376
216 459 878 375
428 381 574 374
426 381 302 373
163 455 790 373
380 409 72 371
368 415 716 371
371 413 469 370
377 409 851 370
360 417 765 369
361 416 766 369
110 442 865 369
409 387 533 368
240 450 591 368
416 381 422 367
