10000 500 2003909
513 502 9749 4614
524 510 8256 4600
519 530 4831 4588
612 517 1081 4539
500 637 6631 4520
650 525 7922 4508
668 532 4474 4492
626 579 8563 4482
542 653 5726 4480
536 663 409 4477
524 676 4111 4475
606 605 9892 4475
629 587 2047 4474
604 610 600 4472
506 697 2861 4471
512 697 3358 4467
718 525 6503 4466
517 699 5185 4463
656 597 5586 4449
755 519 6377 4447
517 724 6033 4444
591 665 5974 4439
776 514 7695 4438
659 618 7518 4431
526 741 1429 4425
791 523 5396 4422
750 558 8658 4420
710 594 8729 4417
505 773 450 4416
701 606 3540 4413
643 655 6736 4413
723 589 7847 4413
615 683 4957 4410
719 599 2676 4407
666 645 249 4406
756 572 6026 4405
744 590 3998 4399
723 608 4669 4398
514 797 5309 4392
785 567 426 4391
775 575 7910 4391
536 780 6027 4390
841 537 731 4381
800 569 1664 4380
806 565 3415 4380
808 565 9340 4379
554 785 5334 4374
682 673 8903 4374
727 641 7707 4370
848 551 3204 4365
645 717 7460 4364
525 828 3013 4362
750 638 3636 4358
603 770 5146 4352
538 831 9966 4351
504 864 4735 4350
851 573 7063 4346
888 547 9189 4344
796 624 5391 4340
631 763 3654 4339
912 539 5153 4336
713 703 2314 4331
642 767 5555 4329
853 595 1964 4327
874 583 2651 4324
553 855 436 4323
937 538 8345 4322
893 578 7133 4316
755 688 8259 4316
897 579 4914 4313
728 717 6752 4311
1000 514 7874 4305
870 613 3963 4303
928 572 4464 4300
655 794 8460 4300
781 690 3057 4298
814 663 4685 4298
815 669 7251 4293
679 784 1715 4292
1033 510 5953 4289
604 858 9725 4286
860 644 8216 4284
1053 503 1957 4283
785 715 4679 4276
1040 533 6681 4266
547 941 6666 4265
894 644 1414 4263
678 824 7360 4262
1039 544 9 4258
828 706 7699 4256
1001 576 6795 4254
783 752 2712 4249
976 602 8826 4248
929 639 6044 4246
773 769 2969 4242
683 851 4550 4239
624 905 4960 4238
724 831 4017 4227
881 701 5253 4226
608 938 9228 4225
511 1035 4118 4223
543 1010 84 4218
618 938 7915 4218
821 764 3497 4215
1055 590 4292 4211
695 880 4875 4209
963 660 4889 4209
578 988 7357 4209
565 1005 6284 4206
1160 523 7725 4206
544 1027 7631 4205
625 952 7552 4203
558 1018 930 4202
1076 593 7071 4196
966 675 5677 4195
755 854 6298 4189
1194 522 260 4188
884 749 8222 4187
1197 523 9670 4186
659 946 939 4184
1159 550 6649 4184
1007 658 7664 4184
1008 659 1882 4183
596 1009 8111 4182
597 1012 6374 4179
888 762 6093 4174
1128 585 2103 4173
718 911 3863 4171
1019 669 7089 4168
923 745 4270 4166
808 839 9327 4166
970 715 3438 4161
832 826 5858 4160
1120 607 9953 4159
937 746 997 4156
840 825 1670 4156
874 799 7117 4154
657 989 8280 4154
920 765 942 4152
936 755 1742 4150
717 939 7373 4150
640 1012 9638 4149
1135 611 1382 4148
864 816 3808 4148
745 918 2870 4147
1187 577 3604 4146
813 862 4943 4145
698 965 2918 4144
969 740 1332 4142
537 1123 7449 4142
679 991 5026 4138
906 796 6656 4137
761 923 4417 4133
972 755 4180 4128
625 1060 5453 4125
1106 660 3536 4124
1320 519 1978 4123
1125 650 6195 4121
756 946 5400 4119
747 957 4805 4117
1239 579 9289 4116
639 1061 5762 4115
864 858 9247 4115
1072 698 5786 4113
1105 675 8759 4113
951 792 9815 4112
710 1003 10 4108
790 932 5261 4107
1093 694 9075 4104
928 822 5007 4103
1297 557 8023 4103
717 1006 4261 4101
1014 758 4284 4100
1362 521 3394 4099
593 1131 3130 4097
995 776 9223 4097
