10000 500 2500343
539 500 303 5639
539 520 3678 5624
576 514 7174 5605
573 524 618 5599
598 512 8452 5593
581 542 2921 5580
603 533 9307 5573
610 529 9274 5572
644 530 2775 5550
558 604 8496 5547
614 559 6936 5546
596 592 7334 5532
642 569 5367 5521
656 560 9905 5519
619 592 4466 5517
513 684 8944 5515
637 584 32 5512
547 664 3103 5508
574 652 6010 5500
694 560 5190 5495
687 567 1406 5494
507 718 4207 5494
631 616 760 5491
505 740 1139 5478
666 607 3982 5476
601 661 8842 5476
643 627 4017 5475
618 653 8467 5471
534 744 7625 5456
526 779 9958 5435
766 582 2445 5433
678 665 1268 5424
722 634 4663 5420
771 595 7013 5420
672 676 6602 5419
708 646 6643 5419
853 537 3715 5416
562 776 6882 5414
899 508 6115 5412
629 727 9257 5407
620 738 8908 5405
709 670 2061 5400
575 783 7010 5400
881 541 3640 5396
876 546 5830 5395
669 709 9405 5395
528 832 5152 5394
885 540 6192 5394
786 631 506 5382
848 583 7973 5382
685 717 967 5379
748 666 7436 5379
546 860 1030 5361
776 673 7500 5356
664 767 5280 5354
744 709 2430 5348
1000 518 8689 5344
799 676 9286 5339
741 731 327 5333
660 802 3314 5330
979 555 3460 5326
638 826 5851 5326
824 676 1844 5323
790 703 9501 5323
991 553 5064 5321
967 570 5412 5321
974 574 3466 5314
755 760 3878 5301
768 751 2614 5300
1023 559 2808 5297
891 659 6349 5296
838 701 8096 5295
992 585 9786 5294
564 945 6864 5286
1129 500 3543 5285
602 914 5137 5284
1084 548 9785 5271
1104 542 9794 5264
1073 568 3371 5261
511 1031 947 5259
1167 507 4569 5257
1146 525 991 5254
1001 630 1283 5253
877 725 3845 5252
946 673 8686 5251
1000 637 9821 5248
1021 623 3416 5247
509 1053 6605 5244
1063 601 2444 5240
1061 605 6366 5238
1204 505 9167 5238
666 928 1733 5231
612 978 757 5229
803 815 4378 5228
837 791 6462 5225
838 811 2195 5209
1012 679 423 5207
891 771 5610 5207
1227 533 9424 5202
897 776 685 5200
507 1117 5728 5199
628 1009 6073 5196
792 875 4196 5189
601 1043 7651 5189
717 942 342 5187
1057 671 1093 5187
1107 635 5225 5187
917 783 2134 5182
1199 580 6577 5179
698 970 1966 5178
555 1103 5250 5176
964 756 9673 5174
622 1045 6445 5173
891 816 5553 5172
633 1038 1260 5171
739 944 8140 5171
1093 664 8375 5171
1016 724 8846 5168
834 872 4387 5165
1248 566 8139 5163
717 978 6367 5160
1197 605 4301 5159
635 1057 24 5155
816 899 2171 5155
1116 670 1622 5153
598 1096 3596 5152
1263 569 6744 5152
1052 720 1614 5150
1194 620 1484 5149
1262 578 2298 5145
962 796 6463 5144
1110 689 6762 5141
891 857 9656 5140
1013 765 1546 5137
906 849 5933 5137
757 979 1158 5133
730 1002 7119 5133
1044 748 2637 5132
702 1028 6243 5132
538 1182 9655 5131
690 1049 1699 5124
1043 760 6374 5123
921 860 6653 5119
1151 688 1399 5118
754 1002 1418 5117
878 903 5007 5113
1262 619 2507 5111
600 1151 8228 5111
1174 681 8623 5110
643 1115 51 5107
1085 749 9371 5107
1333 580 8076 5105
694 1076 4388 5102
894 905 956 5101
1269 628 1871 5100
1180 691 7209 5099
1293 614 8411 5098
616 1153 8880 5098
888 916 3500 5096
935 880 1060 5095
1295 616 1818 5095
745 1039 8672 5095
871 933 1688 5094
953 866 3328 5094
860 944 4056 5093
772 1020 9838 5092
1335 595 2939 5091
947 875 3647 5091
1175 705 2671 5090
513 1266 5516 5089
672 1119 3193 5085
1432 541 8690 5084
761 1044 7556 5081
973 868 2634 5080
701 1099 3702 5080
1213 691 5674 5080
1363 590 8585 5080
1007 844 7580 5078
751 1058 9453 5077
668 1135 4777 5076
1108 775 4893 5073
1327 624 198 5071
755 1062 8518 5071
1174 730 802 5070
821 1008 3442 5069
1083 800 3013 5067
590 1223 2126 5066
628 1191 461 5062
1264 677 7149 5062
1071 818 4705 5060
686 1147 8344 5055
1328 644 816 5054
1409 591 8479 5054
704 1133 1417 5053
633 1199 2581 5053
542 1293 7946 5049
617 1222 6155 5048
1155 774 8916 5046
1460 575 81 5041
1568 511 8125 5040
1262 706 7772 5039
584 1270 2237 5036
517 1338 8248 5036
1104 824 9752 5036
1400 622 9266 5033
1571 518 2069 5032
1157 790 7902 5032
698 1169 2398 5030
1139 808 7753 5028
722 1150 7757 5028
1111 830 3046 5027
1480 581 7775 5025
696 1179 5247 5024
880 1018 4430 5023
1576 529 1392 5020
670 1211 6087 5019
1330 686 1492 5018
1626 502 2222 5018
1229 758 2076 5016
920 995 7083 5015
531 1353 9473 5015
505 1384 237 5012
1319 704 8688 5009
1286 727 8732 5009
1009 934 5408 5006
954 990 7719 4997
1510 599 1216 4994
1464 628 8645 4994
923 1022 776 4992
1214 800 3346 4990
1650 521 4792 4990
867 1074 4007 4989
1308 736 9737 4989
721 1210 6045 4985
554 1376 7590 4983
1228 799 9549 4983
786 1153 9792 4983
1406 680 5684 4981
1310 750 2641 4976
785 1166 1394 4974
1000 984 6413 4973
1105 902 7031 4973
824 1134 4186 4972
1443 671 5364 4969
1003 986 8113 4969
1124 895 3853 4967
756 1207 6606 4963
1010 990 6097 4962
1218 833 3207 4961
770 1199 8541 4960
1475 665 7127 4956
1040 978 7589 4953
1575 609 1127 4952
1691 542 3787 4952
843 1144 4122 4952
1116 922 1509 4950
572 1404 1932 4950
1457 684 2589 4950
1111 928 7193 4948
1428 711 483 4943
1360 758 1819 4941
539 1458 6012 4937
1356 766 6046 4937
1304 805 3366 4934
1363 765 4688 4934
572 1428 9588 4933
1543 653 6123 4931
762 1250 1822 4928
1249 851 3202 4928
984 1055 8473 4928
1030 1020 578 4926
